composer,catalog,title,era,difficulty_estimate
"Johann Sebastian Bach","BWV 565","Toccata and Fugue in D Minor","Baroque","8-10"
"Johann Sebastian Bach","BWV 1007","Cello Suite No. 1 in G Major — Prelude","Baroque","4-6"
"Johann Sebastian Bach","BWV 1068","Air on the G String","Baroque","3-5"
"Johann Sebastian Bach","BWV 147","Jesu, Joy of Man's Desiring","Baroque","4-6"
"Johann Sebastian Bach","BWV 1056","Keyboard Concerto No. 5 in F Minor — Largo","Baroque","5-7"
"Wolfgang Amadeus Mozart","K. 279","Piano Sonata No. 1 in C Major","Classical","5-6"
"Wolfgang Amadeus Mozart","K. 280","Piano Sonata No. 2 in F Major","Classical","5-7"
"Wolfgang Amadeus Mozart","K. 281","Piano Sonata No. 3 in B-flat Major","Classical","5-7"
"Wolfgang Amadeus Mozart","K. 282","Piano Sonata No. 4 in E-flat Major","Classical","5-7"
"Wolfgang Amadeus Mozart","K. 283","Piano Sonata No. 5 in G Major","Classical","5-6"
"Wolfgang Amadeus Mozart","K. 284","Piano Sonata No. 6 in D Major","Classical","6-7"
"Wolfgang Amadeus Mozart","K. 309","Piano Sonata No. 7 in C Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 310","Piano Sonata No. 8 in A Minor","Classical","7-9"
"Wolfgang Amadeus Mozart","K. 311","Piano Sonata No. 9 in D Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 330","Piano Sonata No. 10 in C Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 331","Piano Sonata No. 11 in A Major (Alla Turca)","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 332","Piano Sonata No. 12 in F Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 333","Piano Sonata No. 13 in B-flat Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 457","Piano Sonata No. 14 in C Minor","Classical","8-9"
"Wolfgang Amadeus Mozart","K. 545","Piano Sonata No. 16 in C Major","Classical","4-6"
"Wolfgang Amadeus Mozart","K. 570","Piano Sonata No. 17 in B-flat Major","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 576","Piano Sonata No. 18 in D Major","Classical","8-9"
"Wolfgang Amadeus Mozart","K. 397","Fantasia in D Minor","Classical","6-8"
"Wolfgang Amadeus Mozart","K. 475","Fantasia in C Minor","Classical","8-9"
"Wolfgang Amadeus Mozart","K. 331","Rondo alla Turca","Classical","5-7"
"Wolfgang Amadeus Mozart","K. 466","Piano Concerto No. 20 in D Minor","Classical","8-10"
"Wolfgang Amadeus Mozart","K. 467","Piano Concerto No. 21 in C Major (Elvira Madigan)","Classical","8-10"
"Wolfgang Amadeus Mozart","K. 488","Piano Concerto No. 23 in A Major","Classical","8-10"
"Wolfgang Amadeus Mozart","K. 491","Piano Concerto No. 24 in C Minor","Classical","9-10"
"Wolfgang Amadeus Mozart","K. 265","Twelve Variations on 'Ah vous dirai-je, Maman' (Twinkle Twinkle)","Classical","4-6"
"Wolfgang Amadeus Mozart","K. 525","Eine kleine Nachtmusik — Allegro","Classical","4-6"
"Wolfgang Amadeus Mozart","K. 626","Requiem — Lacrimosa","Classical","5-7"
"Ludwig van Beethoven","Op. 2 No. 1","Piano Sonata No. 1 in F Minor","Classical/Romantic","6-8"
"Ludwig van Beethoven","Op. 2 No. 2","Piano Sonata No. 2 in A Major","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 2 No. 3","Piano Sonata No. 3 in C Major","Classical/Romantic","8-10"
"Ludwig van Beethoven","Op. 7","Piano Sonata No. 4 in E-flat Major (Grand Sonata)","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 10 No. 1","Piano Sonata No. 5 in C Minor","Classical/Romantic","7-8"
"Ludwig van Beethoven","Op. 10 No. 2","Piano Sonata No. 6 in F Major","Classical/Romantic","6-8"
"Ludwig van Beethoven","Op. 10 No. 3","Piano Sonata No. 7 in D Major","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 13","Piano Sonata No. 8 in C Minor (Pathétique)","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 14 No. 1","Piano Sonata No. 9 in E Major","Classical/Romantic","5-7"
"Ludwig van Beethoven","Op. 14 No. 2","Piano Sonata No. 10 in G Major","Classical/Romantic","5-7"
"Ludwig van Beethoven","Op. 22","Piano Sonata No. 11 in B-flat Major","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 26","Piano Sonata No. 12 in A-flat Major (Funeral March)","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 27 No. 1","Piano Sonata No. 13 in E-flat Major","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 27 No. 2","Piano Sonata No. 14 in C-sharp Minor (Moonlight)","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 28","Piano Sonata No. 15 in D Major (Pastoral)","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 31 No. 1","Piano Sonata No. 16 in G Major","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 31 No. 2","Piano Sonata No. 17 in D Minor (Tempest)","Classical/Romantic","8-10"
"Ludwig van Beethoven","Op. 31 No. 3","Piano Sonata No. 18 in E-flat Major (The Hunt)","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 49 No. 1","Piano Sonata No. 19 in G Minor","Classical/Romantic","3-5"
"Ludwig van Beethoven","Op. 49 No. 2","Piano Sonata No. 20 in G Major","Classical/Romantic","3-5"
"Ludwig van Beethoven","Op. 53","Piano Sonata No. 21 in C Major (Waldstein)","Classical/Romantic","9-10"
"Ludwig van Beethoven","Op. 54","Piano Sonata No. 22 in F Major","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 57","Piano Sonata No. 23 in F Minor (Appassionata)","Classical/Romantic","10+"
"Ludwig van Beethoven","Op. 78","Piano Sonata No. 24 in F-sharp Major","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 79","Piano Sonata No. 25 in G Major (Cuckoo)","Classical/Romantic","6-7"
"Ludwig van Beethoven","Op. 81a","Piano Sonata No. 26 in E-flat Major (Les Adieux)","Classical/Romantic","8-10"
"Ludwig van Beethoven","Op. 90","Piano Sonata No. 27 in E Minor","Classical/Romantic","8-9"
"Ludwig van Beethoven","Op. 101","Piano Sonata No. 28 in A Major","Classical/Romantic","9-10"
"Ludwig van Beethoven","Op. 106","Piano Sonata No. 29 in B-flat Major (Hammerklavier)","Classical/Romantic","10+"
"Ludwig van Beethoven","Op. 109","Piano Sonata No. 30 in E Major","Classical/Romantic","9-10"
"Ludwig van Beethoven","Op. 110","Piano Sonata No. 31 in A-flat Major","Classical/Romantic","9-10"
"Ludwig van Beethoven","Op. 111","Piano Sonata No. 32 in C Minor","Classical/Romantic","9-10"
"Ludwig van Beethoven","WoO 59","Bagatelle in A Minor (Für Elise)","Classical/Romantic","3-5"
"Ludwig van Beethoven","Op. 33","Seven Bagatelles","Classical/Romantic","4-7"
"Ludwig van Beethoven","Op. 119","Eleven Bagatelles","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 126","Six Bagatelles","Classical/Romantic","7-9"
"Ludwig van Beethoven","Op. 21","Symphony No. 1 in C Major","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 36","Symphony No. 2 in D Major","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 55","Symphony No. 3 in E-flat Major (Eroica)","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 60","Symphony No. 4 in B-flat Major","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 67","Symphony No. 5 in C Minor (Fate)","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 68","Symphony No. 6 in F Major (Pastoral)","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 92","Symphony No. 7 in A Major","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 93","Symphony No. 8 in F Major","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 125","Symphony No. 9 in D Minor (Choral) — Ode to Joy","Classical/Romantic","5-8"
"Ludwig van Beethoven","Op. 73","Piano Concerto No. 5 in E-flat Major (Emperor)","Classical/Romantic","9-10"
"Ludwig van Beethoven","Op. 120","Diabelli Variations","Classical/Romantic","10+"
"Frédéric Chopin","Op. 9 No. 1","Nocturne in B-flat Minor","Romantic","6-8"
"Frédéric Chopin","Op. 9 No. 2","Nocturne in E-flat Major","Romantic","6-7"
"Frédéric Chopin","Op. 15 No. 1","Nocturne in F Major","Romantic","7-8"
"Frédéric Chopin","Op. 15 No. 2","Nocturne in F-sharp Major","Romantic","7-8"
"Frédéric Chopin","Op. 27 No. 1","Nocturne in C-sharp Minor","Romantic","8-9"
"Frédéric Chopin","Op. 27 No. 2","Nocturne in D-flat Major","Romantic","8-9"
"Frédéric Chopin","Op. 32 No. 1","Nocturne in B Major","Romantic","7-8"
"Frédéric Chopin","Op. 32 No. 2","Nocturne in A-flat Major","Romantic","7-8"
"Frédéric Chopin","Op. 37 No. 1","Nocturne in G Minor","Romantic","6-8"
"Frédéric Chopin","Op. 48 No. 1","Nocturne in C Minor","Romantic","8-9"
"Frédéric Chopin","Op. 55 No. 1","Nocturne in F Minor","Romantic","7-9"
"Frédéric Chopin","Op. 62 No. 1","Nocturne in B Major","Romantic","8-9"
"Frédéric Chopin","Op. 72 No. 1","Nocturne in E Minor (Posth.)","Romantic","6-8"
"Frédéric Chopin","Op. 10 No. 1","Étude in C Major (Waterfall)","Romantic","10+"
"Frédéric Chopin","Op. 10 No. 3","Étude in E Major (Tristesse)","Romantic","7-9"
"Frédéric Chopin","Op. 10 No. 4","Étude in C-sharp Minor (Torrent)","Romantic","10+"
"Frédéric Chopin","Op. 10 No. 5","Étude in G-flat Major (Black Key)","Romantic","9-10"
"Frédéric Chopin","Op. 10 No. 12","Étude in C Minor (Revolutionary)","Romantic","9-10"
"Frédéric Chopin","Op. 25 No. 1","Étude in A-flat Major (Aeolian Harp)","Romantic","8-10"
"Frédéric Chopin","Op. 25 No. 2","Étude in F Minor (The Bees)","Romantic","8-10"
"Frédéric Chopin","Op. 25 No. 9","Étude in G-flat Major (Butterfly)","Romantic","8-9"
"Frédéric Chopin","Op. 25 No. 11","Étude in A Minor (Winter Wind)","Romantic","10+"
"Frédéric Chopin","Op. 25 No. 12","Étude in C Minor (Ocean)","Romantic","10+"
"Frédéric Chopin","Op. 18","Grande Valse Brillante in E-flat Major","Romantic","7-9"
"Frédéric Chopin","Op. 34 No. 1","Waltz in A-flat Major","Romantic","7-8"
"Frédéric Chopin","Op. 34 No. 2","Waltz in A Minor","Romantic","6-7"
"Frédéric Chopin","Op. 42","Waltz in A-flat Major (Grande Valse)","Romantic","8-9"
"Frédéric Chopin","Op. 64 No. 1","Waltz in D-flat Major (Minute Waltz)","Romantic","7-9"
"Frédéric Chopin","Op. 64 No. 2","Waltz in C-sharp Minor","Romantic","7-8"
"Frédéric Chopin","Op. 69 No. 1","Waltz in A-flat Major (L'Adieu)","Romantic","6-8"
"Frédéric Chopin","Op. 69 No. 2","Waltz in B Minor","Romantic","6-7"
"Frédéric Chopin","Op. 26 No. 1","Polonaise in C-sharp Minor","Romantic","8-9"
"Frédéric Chopin","Op. 40 No. 1","Polonaise in A Major (Military)","Romantic","7-9"
"Frédéric Chopin","Op. 44","Polonaise in F-sharp Minor","Romantic","9-10"
"Frédéric Chopin","Op. 53","Polonaise in A-flat Major (Heroic)","Romantic","9-10"
"Frédéric Chopin","Op. 23","Ballade No. 1 in G Minor","Romantic","9-10"
"Frédéric Chopin","Op. 38","Ballade No. 2 in F Major","Romantic","9-10"
"Frédéric Chopin","Op. 47","Ballade No. 3 in A-flat Major","Romantic","9-10"
"Frédéric Chopin","Op. 52","Ballade No. 4 in F Minor","Romantic","10+"
"Frédéric Chopin","Op. 28 No. 4","Prelude in E Minor","Romantic","3-5"
"Frédéric Chopin","Op. 28 No. 6","Prelude in B Minor","Romantic","5-7"
"Frédéric Chopin","Op. 28 No. 7","Prelude in A Major","Romantic","2-4"
"Frédéric Chopin","Op. 28 No. 15","Prelude in D-flat Major (Raindrop)","Romantic","6-8"
"Frédéric Chopin","Op. 28 No. 20","Prelude in C Minor (Funeral)","Romantic","5-7"
"Frédéric Chopin","Op. 28 No. 22","Prelude in G Minor","Romantic","7-9"
"Frédéric Chopin","Op. 28 No. 24","Prelude in D Minor","Romantic","8-10"
"Frédéric Chopin","Op. 20","Scherzo No. 1 in B Minor","Romantic","9-10"
"Frédéric Chopin","Op. 31","Scherzo No. 2 in B-flat Minor","Romantic","9-10"
"Frédéric Chopin","Op. 39","Scherzo No. 3 in C-sharp Minor","Romantic","9-10"
"Frédéric Chopin","Op. 29","Impromptu No. 1 in A-flat Major","Romantic","7-9"
"Frédéric Chopin","Op. 36","Impromptu No. 2 in F-sharp Major","Romantic","7-9"
"Frédéric Chopin","Op. 51","Impromptu No. 3 in G-flat Major","Romantic","8-9"
"Frédéric Chopin","Op. 66","Fantaisie-Impromptu in C-sharp Minor","Romantic","9-10"
"Frédéric Chopin","Op. 7 No. 1","Mazurka in B-flat Major","Romantic","5-7"
"Frédéric Chopin","Op. 17 No. 4","Mazurka in A Minor","Romantic","5-7"
"Frédéric Chopin","Op. 33 No. 2","Mazurka in D Major","Romantic","6-7"
"Frédéric Chopin","Op. 35","Piano Sonata No. 2 in B-flat Minor (Funeral March)","Romantic","9-10"
"Frédéric Chopin","Op. 49","Fantaisie in F Minor","Romantic","9-10"
"Frédéric Chopin","B. 150","Waltz in A Minor (Posthumous)","Romantic","3-5"
"Claude Debussy","L. 117","Clair de Lune","Impressionist","6-8"
"Claude Debussy","L. 125","Suite Bergamasque — Prélude","Impressionist","6-8"
"Claude Debussy","L. 75","Arabesque No. 1","Impressionist","6-8"
"Claude Debussy","L. 75","Arabesque No. 2","Impressionist","6-8"
"Claude Debussy","L. 131","Children's Corner — Doctor Gradus ad Parnassum","Impressionist","7-8"
"Claude Debussy","L. 131","Children's Corner — The Little Shepherd","Impressionist","5-7"
"Claude Debussy","L. 131","Children's Corner — Golliwogg's Cakewalk","Impressionist","6-8"
"Claude Debussy","L. 119","Préludes Book 1 — La fille aux cheveux de lin","Impressionist","6-8"
"Claude Debussy","L. 119","Préludes Book 1 — La cathédrale engloutie","Impressionist","8-10"
"Claude Debussy","L. 119","Préludes Book 1 — Minstrels","Impressionist","8-9"
"Claude Debussy","L. 123","Préludes Book 2 — Bruyères","Impressionist","7-9"
"Claude Debussy","L. 123","Préludes Book 2 — Feux d'artifice","Impressionist","9-10"
"Claude Debussy","L. 100","Estampes — Pagodes","Impressionist","8-9"
"Claude Debussy","L. 100","Estampes — Jardins sous la pluie","Impressionist","8-9"
"Claude Debussy","L. 117","Rêverie","Impressionist","5-7"
"Franz Liszt","S. 541","Liebestraum No. 3","Romantic","8-9"
"Franz Liszt","S. 172","Consolation No. 3 in D-flat Major","Romantic","6-8"
"Franz Liszt","S. 139","Hungarian Rhapsody No. 2","Romantic","10+"
"Franz Liszt","S. 244","Hungarian Rhapsody No. 6","Romantic","10+"
"Franz Liszt","S. 160","La Campanella","Romantic","10+"
"Franz Liszt","S. 144","Étude Transcendante No. 3 (Paysage)","Romantic","9-10"
"Franz Liszt","S. 178","Piano Sonata in B Minor","Romantic","10+"
"Franz Liszt","S. 175","Mephisto Waltz No. 1","Romantic","10+"
"Franz Liszt","S. 169","Romance Oubliée","Romantic","7-8"
"Franz Liszt","S. 173","Un Sospiro","Romantic","9-10"
"Franz Schubert","D. 899 No. 1","Impromptu in C Minor","Romantic","8-9"
"Franz Schubert","D. 899 No. 2","Impromptu in E-flat Major","Romantic","8-9"
"Franz Schubert","D. 899 No. 3","Impromptu in G-flat Major","Romantic","7-8"
"Franz Schubert","D. 899 No. 4","Impromptu in A-flat Major","Romantic","9-10"
"Franz Schubert","D. 935 No. 2","Impromptu in A-flat Major (Op. 142)","Romantic","7-9"
"Franz Schubert","D. 946 No. 1","Impromptu in E-flat Minor","Romantic","8-9"
"Franz Schubert","D. 780 No. 3","Moment Musical in F Minor","Romantic","5-7"
"Franz Schubert","D. 780 No. 6","Moment Musical in A-flat Major","Romantic","4-6"
"Franz Schubert","D. 760","Wanderer Fantasy in C Major","Romantic","10+"
"Franz Schubert","D. 946 No. 2","Klavierstück in E-flat Major","Romantic","7-9"
"Robert Schumann","Op. 15 No. 1","Kinderszenen — Von fremden Ländern und Menschen","Romantic","3-5"
"Robert Schumann","Op. 15 No. 7","Kinderszenen — Träumerei","Romantic","4-6"
"Robert Schumann","Op. 68 No. 1","Album for the Young — Melodie","Romantic","1-3"
"Robert Schumann","Op. 68 No. 10","Album for the Young — Fröhlicher Landmann","Romantic","2-4"
"Robert Schumann","Op. 2","Papillons","Romantic","8-9"
"Robert Schumann","Op. 9","Carnaval","Romantic","9-10"
"Robert Schumann","Op. 12 No. 2","Fantasiestücke — Aufschwung","Romantic","8-9"
"Robert Schumann","Op. 12 No. 3","Fantasiestücke — Warum?","Romantic","7-8"
"Robert Schumann","Op. 18","Arabeske in C Major","Romantic","7-8"
"Robert Schumann","Op. 82","Waldszenen — Eintritt","Romantic","6-8"
"Robert Schumann","Op. 82 No. 7","Waldszenen — Vogel als Prophet","Romantic","7-9"
"Johannes Brahms","Op. 10 No. 1","Ballade in D Minor (Edward)","Romantic","8-9"
"Johannes Brahms","Op. 39","Waltzes for Piano","Romantic","5-8"
"Johannes Brahms","Op. 39 No. 15","Waltz in A-flat Major","Romantic","4-6"
"Johannes Brahms","Op. 49 No. 4","Wiegenlied (Lullaby)","Romantic","3-5"
"Johannes Brahms","Op. 76 No. 2","Capriccio in B Minor","Romantic","7-9"
"Johannes Brahms","Op. 79 No. 1","Rhapsody in B Minor","Romantic","8-10"
"Johannes Brahms","Op. 79 No. 2","Rhapsody in G Minor","Romantic","8-10"
"Johannes Brahms","Op. 116 No. 4","Intermezzo in E Major","Romantic","6-7"
"Johannes Brahms","Op. 117 No. 1","Intermezzo in E-flat Major","Romantic","6-8"
"Johannes Brahms","Op. 118 No. 2","Intermezzo in A Major","Romantic","7-9"
"Johannes Brahms","Op. 118 No. 3","Ballade in G Minor","Romantic","7-8"
"George Frideric Handel","HWV 348","Water Music — Suite No. 1 (piano arrangement)","Baroque","5-7"
"George Frideric Handel","HWV 349","Water Music — Suite No. 2 (piano arrangement)","Baroque","5-7"
"George Frideric Handel","HWV 56","Messiah — Hallelujah Chorus (piano arrangement)","Baroque","5-7"
"George Frideric Handel","HWV 351","Music for the Royal Fireworks (piano arrangement)","Baroque","5-7"
"George Frideric Handel","HWV 430","Keyboard Suite No. 1 in A Major","Baroque","5-7"
"George Frideric Handel","HWV 432","Keyboard Suite No. 5 in E Major (The Harmonious Blacksmith)","Baroque","6-8"
"George Frideric Handel","HWV 434","Keyboard Suite No. 7 in G Minor — Passacaglia","Baroque","7-9"
"George Frideric Handel","HWV 40","Largo from Xerxes (Ombra mai fu)","Baroque","3-5"
"Pyotr Ilyich Tchaikovsky","Op. 37a","The Seasons — January (By the Hearth)","Romantic","5-7"
"Pyotr Ilyich Tchaikovsky","Op. 37a","The Seasons — February (Carnival)","Romantic","5-7"
"Pyotr Ilyich Tchaikovsky","Op. 37a","The Seasons — June (Barcarolle)","Romantic","6-8"
"Pyotr Ilyich Tchaikovsky","Op. 37a","The Seasons — October (Autumn Song)","Romantic","5-7"
"Pyotr Ilyich Tchaikovsky","Op. 71a","Nutcracker Suite — Dance of the Sugar Plum Fairy","Romantic","6-8"
"Pyotr Ilyich Tchaikovsky","Op. 71a","Nutcracker Suite — Waltz of the Flowers","Romantic","6-8"
"Pyotr Ilyich Tchaikovsky","Op. 71a","Nutcracker Suite — March","Romantic","5-7"
"Pyotr Ilyich Tchaikovsky","Op. 20","Swan Lake — Theme","Romantic","5-7"
"Pyotr Ilyich Tchaikovsky","Op. 23","Piano Concerto No. 1 — Opening Theme","Romantic","7-9"
"Pyotr Ilyich Tchaikovsky","Op. 66","Sleeping Beauty — Waltz (piano arrangement)","Romantic","6-8"
"Sergei Rachmaninoff","Op. 3 No. 2","Prelude in C-sharp Minor","Romantic","8-9"
"Sergei Rachmaninoff","Op. 3 No. 1","Élégie in E-flat Minor","Romantic","7-9"
"Sergei Rachmaninoff","Op. 23 No. 5","Prelude in G Minor","Romantic","9-10"
"Sergei Rachmaninoff","Op. 23 No. 4","Prelude in D Major","Romantic","7-9"
"Sergei Rachmaninoff","Op. 32 No. 10","Prelude in B Minor","Romantic","9-10"
"Sergei Rachmaninoff","Op. 32 No. 12","Prelude in G-sharp Minor","Romantic","8-10"
"Maurice Ravel","M. 19","Pavane pour une infante défunte","Impressionist","7-9"
"Maurice Ravel","M. 43","Le Tombeau de Couperin — Prélude","Impressionist","8-9"
"Maurice Ravel","M. 43","Le Tombeau de Couperin — Forlane","Impressionist","8-9"
"Maurice Ravel","M. 43","Le Tombeau de Couperin — Menuet","Impressionist","7-9"
"Maurice Ravel","M. 43","Le Tombeau de Couperin — Rigaudon","Impressionist","8-9"
"Maurice Ravel","M. 7","Jeux d'eau","Impressionist","9-10"
"Maurice Ravel","M. 30","Sonatine — Modéré","Impressionist","7-9"
"Erik Satie","","Gymnopédie No. 1","Modern","4-6"
"Erik Satie","","Gymnopédie No. 2","Modern","4-6"
"Erik Satie","","Gymnopédie No. 3","Modern","4-6"
"Erik Satie","","Gnossienne No. 1","Modern","4-6"
"Erik Satie","","Gnossienne No. 2","Modern","4-6"
"Erik Satie","","Gnossienne No. 3","Modern","4-6"
"Felix Mendelssohn","Op. 19 No. 1","Songs Without Words — Sweet Remembrance","Romantic","5-7"
"Felix Mendelssohn","Op. 19 No. 6","Songs Without Words — Venetian Boat Song No. 1","Romantic","5-7"
